,Name,Age,Height,Weight,Sport
6300,Rolf Amrein,43.0,179.0,78.0,Sailing
6301,Franz Albert Amrhein,29.0,,,Rugby
6302,Marwa Al-Amri,19.0,160.0,58.0,Wrestling
6303,Marwa Al-Amri,23.0,160.0,58.0,Wrestling
6304,Marwa Al-Amri,27.0,160.0,58.0,Wrestling
6305,Anand Amritraj,36.0,185.0,77.0,Tennis
6306,Vijay Amritraj,34.0,193.0,75.0,Tennis
6307,Vijay Amritraj,34.0,193.0,75.0,Tennis
6308,Juraj Amel,23.0,,,Water Polo
6309,Iryna Vitalivna Amshennikova,18.0,174.0,58.0,Swimming
6310,Iryna Vitalivna Amshennikova,18.0,174.0,58.0,Swimming
6311,Iryna Vitalivna Amshennikova,22.0,174.0,58.0,Swimming
6312,Iryna Vitalivna Amshennikova,22.0,174.0,58.0,Swimming
6313,Iryna Vitalivna Amshennikova,22.0,174.0,58.0,Swimming
6314,Mohamed Amsif,23.0,187.0,90.0,Football
6315,Heinrich Amsinck,44.0,,,Polo
6316,Gaston Marcel Amson,36.0,,,Fencing
6317,Gaston Marcel Amson,36.0,,,Fencing
6318,Gaston Marcel Amson,44.0,,,Fencing
6319,Gottlieb Amstein,21.0,,,Cycling
6320,Gottlieb Amstein,21.0,,,Cycling
6321,Ursula Amstein,20.0,172.0,58.0,Luge
6322,Arnold Amstutz,,,,Rowing
6323,Abdul Karim Ohimai Amu,23.0,185.0,77.0,Athletics
6324,Abdul Karim Ohimai Amu,23.0,185.0,77.0,Athletics
6325,Abdul Karim Ohimai Amu,26.0,185.0,77.0,Athletics
6326,Abdul Karim Ohimai Amu,26.0,185.0,77.0,Athletics
6327,Abdul Karim Ohimai Amu,30.0,185.0,77.0,Athletics
6328,"Daniel ""Dan"" Amuke",22.0,180.0,69.0,Athletics
6329,"Daniel ""Dan"" Amuke",22.0,180.0,69.0,Athletics
6330,"Erasmus Samuel A. O. ""Sam"" Amukun",19.0,169.0,64.0,Athletics
6331,"Erasmus Samuel A. O. ""Sam"" Amukun",19.0,169.0,64.0,Athletics
6332,"Erasmus Samuel A. O. ""Sam"" Amukun",19.0,169.0,64.0,Athletics
6333,"Erasmus Samuel A. O. ""Sam"" Amukun",23.0,169.0,64.0,Athletics
6334,"Erasmus Samuel A. O. ""Sam"" Amukun",23.0,169.0,64.0,Athletics
6335,Gudmund Birger Amundin,32.0,,,Rowing
6336,Gail Amundrud (-Beattie),19.0,183.0,70.0,Swimming
6337,Gail Amundrud (-Beattie),19.0,183.0,70.0,Swimming
6338,Gail Amundrud (-Beattie),19.0,183.0,70.0,Swimming
6339,Arild Eigil Amundsen,50.0,177.0,95.0,Sailing
6340,Arthur Martinius Amundsen,22.0,,,Gymnastics
6341,Arthur Martinius Amundsen,26.0,,,Gymnastics
6342,Harald Amundsen,21.0,186.0,83.0,Canoeing
6343,Harald Amundsen,25.0,186.0,83.0,Canoeing
6344,Mauritz Amundsen,32.0,,,Shooting
6345,Mauritz Amundsen,32.0,,,Shooting
6346,Mauritz Amundsen,44.0,,,Shooting
6347,Mauritz Amundsen,48.0,,,Shooting
6348,Mauritz Amundsen,48.0,,,Shooting
6349,Mauritz Amundsen,48.0,,,Shooting
6350,Steinar Amundsen,23.0,195.0,88.0,Canoeing
6351,Steinar Amundsen,27.0,195.0,88.0,Canoeing
6352,Tom Amundsen,29.0,190.0,85.0,Rowing
6353,Tom Amundsen,33.0,190.0,85.0,Rowing
6354,Emmanuel Amunike,25.0,176.0,70.0,Football
6355,Oluwatobiloba Ayomide Amusan,19.0,,55.0,Athletics
6356,Stanley Amuzie,20.0,171.0,85.0,Football
6357,Mohamed Amyn,28.0,168.0,53.0,Athletics
6358,"Francis ""Frank"" Amyot",31.0,188.0,84.0,Canoeing
6359,"Francis ""Frank"" Amyot",31.0,188.0,84.0,Canoeing
6360,Hassan Amzile,28.0,183.0,64.0,Boxing
6361,Vasilena Gerginova Amzina (Stefanova-),30.0,169.0,53.0,Athletics
6362,Vasilena Gerginova Amzina (Stefanova-),30.0,169.0,53.0,Athletics
6363,An Ba-Ul,22.0,169.0,66.0,Judo
6364,An Byeong-Geun,22.0,172.0,78.0,Judo
6365,An Byeong-Geun,26.0,172.0,78.0,Judo
6366,An Byeong-Gyun,21.0,178.0,64.0,Shooting
6367,An Byeong-Hun,24.0,186.0,95.0,Golf
6368,An Byeong-Hun,24.0,170.0,60.0,Cycling
6369,An Byeong-Hun,24.0,170.0,60.0,Cycling
6370,An Byeong-Seok,,180.0,,Basketball
6371,An Byeong-Seok,,180.0,,Basketball
6372,An Chang-Rim,22.0,170.0,73.0,Judo
6373,An Cheon-Yeong,24.0,163.0,57.0,Wrestling
6374,An Cheon-Yeong,28.0,163.0,57.0,Wrestling
6375,An Dae-Hyeon,25.0,166.0,67.0,Wrestling
6376,An Dal-Ho,21.0,183.0,75.0,Boxing
6377,An Dandara,24.0,,,Sailing
6378,An Deok-Gi,24.0,173.0,58.0,Equestrianism
6379,An Deok-Gi,24.0,173.0,58.0,Equestrianism
6380,An Gil-Wan,27.0,174.0,74.0,Football
6381,An Gyeong-Ja,18.0,169.0,59.0,Volleyball
6382,An Hae-Eun,21.0,159.0,48.0,Rowing
6383,An Han-Bong,23.0,163.0,62.0,Wrestling
6384,An Han-Yeong,28.0,165.0,57.0,Wrestling
6385,An Hui-Bong,23.0,188.0,100.0,Baseball
6386,An Hyo-Ju,28.0,168.0,54.0,Hockey
6387,An Jae-Hyeong,23.0,183.0,74.0,Table Tennis
6388,An Jae-Song,26.0,161.0,63.0,Shooting
6389,An Jae-Song,30.0,161.0,63.0,Shooting
6390,An Jae-Song,34.0,161.0,63.0,Shooting
6391,An Jae-Won,24.0,162.0,57.0,Wrestling
6392,An Jeong-Geun,39.0,174.0,72.0,Shooting
6393,An Jeong-Hwa,27.0,162.0,62.0,Handball
6394,An Ji-Min,17.0,163.0,52.0,Speed Skating
6395,An Jin-Su,22.0,185.0,83.0,Handball
6396,An Jong-Deuk,22.0,183.0,79.0,Rowing
6397,An Kum-Ae,28.0,160.0,52.0,Judo
6398,An Kum-Ae,32.0,160.0,52.0,Judo
6399,An Myong-Hwa,17.0,,,Gymnastics
6400,An Myong-Hwa,17.0,,,Gymnastics
6401,An Myong-Hwa,17.0,,,Gymnastics
6402,An Myong-Hwa,17.0,,,Gymnastics
6403,An Myong-Hwa,17.0,,,Gymnastics
6404,An Myong-Hwa,17.0,,,Gymnastics
6405,An Sang-Mi,18.0,155.0,48.0,Short Track Speed Skating
6406,An Se-Hyeon,20.0,168.0,57.0,Swimming
6407,An Se-Hyeon,20.0,168.0,57.0,Swimming
6408,An Se-Uk,28.0,168.0,69.0,Football
6409,An Sen-Za,18.0,,,Speed Skating
6410,An Seon-Mi,23.0,175.0,62.0,Basketball
6411,An Seul-Ki,24.0,161.0,46.0,Athletics
6412,An Su-Gyeong,17.0,160.0,65.0,Shooting
6413,An Su-Gyeong,17.0,160.0,65.0,Shooting
6414,An Su-Gyeong,21.0,160.0,65.0,Shooting
6415,An U-Hyeok,24.0,178.0,74.0,Cycling
6416,An Ung-Nam,28.0,183.0,93.0,Judo
6417,Viktor An,16.0,170.0,65.0,Short Track Speed Skating
6418,Viktor An,16.0,170.0,65.0,Short Track Speed Skating
6419,Viktor An,20.0,170.0,65.0,Short Track Speed Skating
6420,Viktor An,20.0,170.0,65.0,Short Track Speed Skating
6421,Viktor An,20.0,170.0,65.0,Short Track Speed Skating
6422,Viktor An,20.0,170.0,65.0,Short Track Speed Skating
6423,Viktor An,28.0,170.0,65.0,Short Track Speed Skating
6424,Viktor An,28.0,170.0,65.0,Short Track Speed Skating
6425,Viktor An,28.0,170.0,65.0,Short Track Speed Skating
6426,Viktor An,28.0,170.0,65.0,Short Track Speed Skating
6427,An Weijiang,22.0,178.0,72.0,Speed Skating
6428,An Weijiang,22.0,178.0,72.0,Speed Skating
6429,An Yeong-Han,30.0,,,Athletics
6430,An Yeong-Sik,,,,Basketball
6431,An Yeong-Su,20.0,174.0,70.0,Boxing
6432,An Yong-Gwon,21.0,188.0,138.0,Weightlifting
6433,An Yulong,19.0,173.0,70.0,Short Track Speed Skating
6434,An Yulong,19.0,173.0,70.0,Short Track Speed Skating
6435,An Yulong,19.0,173.0,70.0,Short Track Speed Skating
6436,An Yulong,23.0,173.0,70.0,Short Track Speed Skating
6437,An Zhongxin,23.0,170.0,65.0,Softball
6438,An Zhongxin,27.0,170.0,65.0,Softball
6439,Ana Flvia Chritaro Daniel Sanglard,22.0,187.0,73.0,Volleyball
